,C00,C11,C22,C33,C44,C55,C01,C02,C12
(omega^2)_67,3.3188981424368285,2.1196423099997057,0.9493402122807111,-0.3745619185546192,-0.2900436417146435,0.0939255882995208,2.0774223918472154,2.507352023679071,2.4132193770083292
(omega^2)_68,-1.9596709997426314,-0.09740590324815235,-1.3006675090406121,-0.2820985103741337,-0.21901686024369482,-0.5209329129054153,-2.579634554550928,-3.2651950320632257,-3.0955441242590798
(omega^2)_69,-0.8969185854569641,-1.7108498212360574,-1.7306127719628641,-1.8089640229087887,-2.118960020696879,-0.51234658209856,0.4403754840145495,1.0288077355571115,1.096022979023517
(omega^2)_70,1.7001020058545027,1.5837426743295357,3.641888541634839,4.580399702876494,4.871945275158367,3.4794105443886574,1.5627782352370438,1.1259293726676816,0.8412077942516284
(omega^2)_71,-0.3188212227844812,-0.4240312256553771,-0.946632242473877,-2.9995187798213396,-3.2155701569378072,-2.875157003115964,0.03974300884506993,0.6173065280266556,0.3421417376360458
(omega^2)_72,-1.1053580347094516,-0.6746665799920657,-1.0782619146105894,-1.5666015306601273,-1.095096134578562,-2.078414572594078,-1.188835188777624,-1.775592925350562,-1.2756130057345643
(omega^2)_73,-1.9291077763000257,-2.2624138394461233,-1.369046526655465,0.12306486621762097,-0.31454272793054944,1.0036502437006019,-0.39066853058754614,-0.7558834208678412,-0.5441498843623687
(omega^2)_74,0.029878252762981006,-0.6658297108629379,-2.212177267569694,-4.379532982844138,-4.583083632979078,-5.661085711104324,-0.8146864880853404,-0.7130620770889784,-1.0845447641052868
(omega^2)_75,1.584820624477786,2.1584947840284756,2.3956883793861072,7.30822418902457,7.296940591896459,8.445231833682591,0.23230462876270766,-0.33758368448076853,-0.2754654823214476
(omega^2)_76,0.4983473912054228,-0.09969376051149781,-0.3676842335624023,-3.9505808276844308,-3.756604165203466,-4.720794487763302,0.31937635287270494,1.287465881483245,1.3880978027726485
(omega^2)_77,0.7717044584679082,0.0894824179908233,-0.043163781639320165,0.9415973067242153,0.36773585847152146,-0.07124895723786201,1.540671167006061,0.9296002917316222,0.9513844084349418
(omega^2)_78,-0.21265857562807422,2.480734171682501,0.3850218966499183,-0.4482753637906502,0.17660155071407954,1.131214389996481,-0.7947671540750472,-1.9368449759366368,-1.6597908014089937
(omega^2)_79,0.6573210214348454,-0.7108336243439863,1.1014995651332153,2.4511696891722146,2.3150308959252,1.1138364412321629,-0.20118463644556733,0.7899243369973699,0.3354038877289978
(omega^2)_80,-2.9273185906716046,-2.831902000195141,-0.17789190158718776,-1.3096616333741498,-1.3949780959460805,-0.8993087461872094,-1.6760484271669585,-1.359656777541736,-1.1647571861627006
(omega^2)_81,0.8151398455691932,0.804931996001064,-0.6934976710058345,-1.5165668174710607,-0.8921556350258159,-1.5362935056486398,1.6976824697205872,0.7967022179162855,0.468352368017133
(omega^2)_82,1.8365498962583886,1.265716112004009,2.610305314725352,3.3596434951506398,2.2915597340186062,3.037443036465173,-1.4063758351924984,0.19825609820356496,0.650235288655893
(omega^2)_83,-0.6962691517091099,-0.36147143443139834,-1.8423584865156961,-2.849075566547967,-2.504347778992111,-2.284083722213863,2.4215987697335706,2.0513841666619834,1.883106052981323
(omega^2)_84,0.14373145136643656,0.006332449494460712,0.7787193476053715,0.8756646793545529,1.3201808001243052,1.1409761125772193,-0.35420883531883784,-0.7000235418265155,-1.108999688826598
(omega^2)_85,1.1221833143309077,1.4727719511138258,0.6437202464978663,2.4159019871108613,2.2697595466532894,4.344707028225911,0.7710042515312783,1.1455873527330227,1.3767042186450908
(omega^2)_86,1.3470881175973028,1.4524081036129388,-0.1612284478099573,-2.105644709095485,-2.191977863420794,-3.307743494482416,-0.5082852958094543,-0.04256339514472619,0.18102094130105334
(omega^2)_87,-1.6491243676677851,-2.2143044818760496,0.03576045679055834,1.0918430641856112,1.0496094633508535,1.416414211444523,1.65766181899282,1.027212382981192,0.6268870603786221
(omega^2)_88,2.08384869295743,2.2187760494667033,-0.4319679263910997,0.951374049812097,1.6332782559269294,0.4804356122921656,-2.1201379202409885,-1.9968516028540084,-1.957851076841958
(omega^2)_89,-2.1780657325002277,-1.5657841100722694,-1.0270052672972558,-2.3939982810777387,-2.956240628377305,-2.833131254250398,1.253405095824591,1.719501689916064,1.4237132645427217
(omega^2)_90,0.7339603767591532,-0.26952264780719654,4.023768419547493,5.9668292548879895,5.326854330573488,5.3097029292264395,-0.4273916350418263,-0.28948803452976307,-0.14356237701068392
(omega^2)_91,-1.3677322790494524,-0.05867671637939506,-4.339452435218696,-7.925488235107229,-7.497475670212754,-8.015885774178916,0.7922765696032875,-0.7668290059140013,-0.6091782730724825
(omega^2)_92,0.8012819574020011,-0.9945521800443267,0.761066658637136,0.7358269232726494,0.9240226166319225,1.929359595992607,-1.8831738456759448,-0.5197818503951626,-0.5177528984872581
(omega^2)_93,0.7704272135902938,3.0837878736788,0.5634653212776428,2.2681449420636763,1.6091529141051455,2.0231984140704156,1.4367940676660924,1.137114094378507,1.7194732751866477
(omega^2)_94,-3.4689984037975417,-6.751983106073756,-1.471697014136751,-1.4185926246267222,-0.9644232820472589,-2.876459755375686,-1.732095384148307,-2.4279236112643305,-2.967613320219986
(omega^2)_95,0.7178897467436114,3.319423421299112,-1.8469498194647094,0.5386305796338243,0.4892966110024827,1.8540230333689283,-0.6265507198002007,-0.46518204093928006,-0.15821861932322961
(omega^2)_96,0.4283453038883821,0.12229366661982034,3.1392079746104766,-0.6102607062018153,0.10360338556772491,-0.5545287932681897,2.9248567886298633,3.3467679941337165,2.9122265402419525
(omega^2)_97,0.9974807724802911,0.496155976320626,-1.3848252970156563,0.7409259234853651,0.44305904153268955,-0.3217843154403881,-1.1447909513208876,-1.438543151956002,-1.41925397518844
(omega^2)_98,-0.5353816060421471,-0.25621454279195,0.4673661701558624,-1.2798562786551972,-1.3243273756611225,-0.2877066864903493,-2.233252769901874,-1.135274961719698,-1.1079444081089904
(omega^2)_99,0.22401126206594496,-0.10883491102389545,1.2714474568233842,3.7905318702264603,4.25894105670235,4.240900495368364,1.145583244752863,0.05779895119713552,-0.08746075997250347
(omega^2)_100,-0.09840651186330171,-0.5551519297771284,-1.0392572825760724,-3.484029361663663,-3.5919162378059126,-4.985461879800979,0.6161785738749325,0.8605926024932784,1.1748259723179384
(omega^2)_101,-1.4127757577509295,1.4795141248488364,-1.1596289995696516,-1.387501882349178,-1.6477033957696057,-0.12381105888644611,-0.13312062574931335,-0.45404092956799325,-0.2680302049331833
(omega^2)_102,7.438509786816328,5.355470725648301,3.5395905819127584,9.650818361399574,9.889390741785526,8.879786672792365,1.3698834527892345,1.3227833064035783,0.9295991566556907
(omega^2)_103,-8.847255244833525,-9.97344795276045,-5.335010982981642,-7.465566938529599,-8.704417077479603,-8.400175787839098,-2.1249796174554643,-1.209700167227341,-1.220825050262749
(omega^2)_104,6.293252534004526,7.756204688112374,5.986332677204906,4.6659811874318535,5.507535475762199,6.177789292641608,4.98742205811908,3.3214855957476455,4.095082156260368
(omega^2)_105,-3.105869285656341,-1.5852360325243957,-2.18886873863437,-1.984329010023508,-3.307698627303453,-3.5823901340109803,-4.114310821004841,-4.6835118131940305,-4.926779128581057
(omega^2)_106,-2.3496261774224765,-4.754191436764687,-2.5619619821709567,-4.521065313926902,-2.5927438505369365,-1.8937705427113474,-1.4014172313261495,0.8689261534070445,0.595649211203956
(omega^2)_107,3.8266363768511216,4.847963314250697,3.722003001666792,4.88868561133991,4.348065349768166,5.428863500897947,2.2696290736072147,1.4753329908840576,1.0943160543040336
(omega^2)_108,-0.5925771019557593,0.1525149586308781,-1.5267286696510602,0.9082477600286881,1.2303760917773283,-0.3848851662130719,-0.7137176898425721,0.21267551767024653,0.2049017772761012
(omega^2)_109,-1.1326466465934377,-1.9457128847064638,0.32501597124480747,-1.7728152184994808,-1.405899992916866,-0.4684806700767035,-0.6813719594729823,-1.8785521150344202,-2.230197546321439
(omega^2)_110,1.0453097331491579,0.5354769490908889,1.7915334359022437,1.533142350830172,0.4072350487563613,-0.6651082960891713,2.326417840132572,3.6678451342955083,4.3771772948747705
